time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-03-20 23:02:41,Currently disconnected,Mon 20 Mar 23:02,None,None,
2017-03-21 09:05:37,Reconnected,Tue 21 Mar 09:05,10:02:56,0,
2017-03-21 10:23:13,Currently disconnected,Tue 21 Mar 10:23,None,None,
2017-03-21 10:38:58,Disconnected,Tue 21 Mar 10:35,None,1:30:19,
2017-03-21 10:40:57,Reconnected,Tue 21 Mar 10:40,0:05:00,0,
2017-03-21 10:44:27,Disconnected,Tue 21 Mar 10:41,None,0:00:27,
2017-03-21 10:59:45,Reconnected,Tue 21 Mar 10:59,0:18:20,0,
2017-03-21 11:06:09,Currently disconnected,Tue 21 Mar 11:06,None,None,
2017-03-21 12:12:50,Disconnected,Tue 21 Mar 12:09,None,1:10:07,
2017-03-21 14:46:38,Reconnected,Tue 21 Mar 14:46,2:36:44,0,
2017-03-21 15:08:26,Disconnected,Tue 21 Mar 15:05,None,0:18:52,
2017-03-21 17:43:34,Reconnected,Tue 21 Mar 17:43,2:38:03,0,
2017-03-21 17:47:12,Disconnected,Tue 21 Mar 17:44,None,0:00:54,
2017-03-21 18:00:19,Reconnected,Tue 21 Mar 18:00,0:15:50,0,
2017-03-21 18:03:39,Disconnected,Tue 21 Mar 18:00,None,0:00:31,
2017-03-21 18:07:14,Reconnected,Tue 21 Mar 18:07,0:06:23,0,
2017-03-21 18:10:41,Disconnected,Tue 21 Mar 18:07,None,0:00:28,
2017-03-21 18:17:29,Reconnected,Tue 21 Mar 18:17,0:09:46,0,
2017-03-21 18:20:50,Disconnected,Tue 21 Mar 18:18,None,0:00:31,
2017-03-21 18:42:25,Reconnected,Tue 21 Mar 18:42,0:24:23,0,
2017-03-21 18:45:44,Disconnected,Tue 21 Mar 18:42,None,0:00:27,
2017-03-21 18:57:13,Reconnected,Tue 21 Mar 18:57,0:14:20,0,
2017-03-21 19:00:44,Disconnected,Tue 21 Mar 18:57,None,0:00:32,
2017-03-21 19:07:54,Reconnected,Tue 21 Mar 19:07,0:10:08,0,
2017-03-21 19:11:10,Disconnected,Tue 21 Mar 19:08,None,0:00:25,
2017-03-21 19:52:17,Reconnected,Tue 21 Mar 19:52,0:43:58,0,
2017-03-21 19:56:25,Disconnected,Tue 21 Mar 19:52,None,0:00:42,
2017-03-21 20:07:02,Reconnected,Tue 21 Mar 20:07,0:14:02,0,
2017-03-21 20:11:02,Disconnected,Tue 21 Mar 20:07,None,0:00:40,
2017-03-21 20:32:45,Reconnected,Tue 21 Mar 20:32,0:25:02,0,
2017-03-21 20:36:19,Disconnected,Tue 21 Mar 20:33,None,0:00:30,
2017-03-21 20:48:03,Reconnected,Tue 21 Mar 20:48,0:14:48,0,
2017-03-21 20:51:58,Disconnected,Tue 21 Mar 20:48,None,0:00:26,
2017-03-21 20:53:36,Reconnected,Tue 21 Mar 20:53,0:05:06,0,
2017-03-21 20:57:26,Disconnected,Tue 21 Mar 20:54,None,0:00:28,
2017-03-21 21:07:26,Reconnected,Tue 21 Mar 21:07,0:13:22,0,
2017-03-21 21:11:13,Disconnected,Tue 21 Mar 21:07,None,0:00:29,
2017-03-22 12:52:35,Reconnected,Wed 22 Mar 12:52,15:44:38,0,
2017-03-22 13:00:08,Currently disconnected,Wed 22 Mar 13:00,None,None,
2017-03-22 13:24:28,Disconnected,Wed 22 Mar 13:21,None,0:29:07,
2017-03-22 13:24:47,Reconnected,Wed 22 Mar 13:24,0:03:04,0,
2017-03-22 13:28:00,Disconnected,Wed 22 Mar 13:25,None,0:00:22,
2017-03-22 13:35:00,Reconnected,Wed 22 Mar 13:35,0:09:50,0,
2017-03-22 13:38:09,Disconnected,Wed 22 Mar 13:35,None,0:00:26,
2017-03-22 13:39:24,Reconnected,Wed 22 Mar 13:39,0:03:56,0,
2017-03-22 13:44:57,Disconnected,Wed 22 Mar 13:42,None,0:02:45,
