time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-01-27 23:58:21.137685,Connected,2017-01-27 23:58:21.136913,None,None,
2017-01-28 00:01:04.642031,Connected,2017-01-28 00:01:04.641355,0:00:15,0:02:28,
2017-01-28 00:43:47.154636,Disconnected,2017-01-28 00:43:47.154165,None,0:42:42,
2017-01-28 00:44:05.712893,Connected,2017-01-28 00:44:05.712436,0:00:18,0:42:42,
2017-01-28 01:15:49.088029,Disconnected,2017-01-28 01:15:49.087512,None,0:31:43,
2017-01-28 01:16:08.821133,Connected,2017-01-28 01:16:08.820660,0:00:19,0:31:43,
2017-01-28 01:49:52.522527,Disconnected,2017-01-28 01:49:52.521808,None,0:33:43,
2017-01-28 01:50:10.378807,Connected,2017-01-28 01:50:10.378405,0:00:17,0:33:43,
2017-01-28 01:55:22.398854,Disconnected,2017-01-28 01:55:22.398440,None,0:05:12,
2017-01-28 01:55:38.122667,Connected,2017-01-28 01:55:38.122190,0:00:15,0:05:12,
2017-01-28 02:00:32.170106,Connected,2017-01-28 02:00:32.169657,0:00:22,0:04:31,
2017-01-28 02:04:40.942638,Connected,2017-01-28 02:04:40.942174,0:00:41,0:03:27,
2017-01-28 02:07:26.162578,Connected,2017-01-28 02:07:26.162046,0:00:13,0:02:31,
2017-01-28 02:09:11.301060,Connected,2017-01-28 02:09:11.300202,0:00:19,0:01:25,
2017-01-28 02:10:08.422419,Connected,2017-01-28 02:10:08.422142,0:00:40,0:00:16,
2017-01-28 02:26:03.533112,Disconnected,2017-01-28 02:26:03.532818,None,0:15:55,
2017-01-28 02:26:27.976177,Connected,2017-01-28 02:26:27.975617,0:00:24,0:15:55,
2017-01-28 02:31:42.601278,Connected,2017-01-28 02:31:42.600814,0:00:26,0:04:47,
2017-01-28 02:40:01.470815,Disconnected,2017-01-28 02:40:01.470310,None,0:08:18,
2017-01-28 02:40:18.857162,Connected,2017-01-28 02:40:18.856698,0:00:17,0:08:18,
2017-01-28 02:41:07.238819,Connected,2017-01-28 02:41:07.238337,0:00:16,0:00:31,
2017-01-28 02:45:33.034550,Connected,2017-01-28 02:45:33.034061,0:00:15,0:04:10,
2017-01-28 02:49:23.737545,Connected,2017-01-28 02:49:23.737093,0:00:18,0:03:31,
2017-01-28 03:02:55.498988,Disconnected,2017-01-28 03:02:55.498508,None,0:13:31,
2017-01-28 03:03:10.812637,Connected,2017-01-28 03:03:10.812168,0:00:15,0:13:31,
2017-01-28 03:09:03.022078,Disconnected,2017-01-28 03:09:03.021588,None,0:05:52,
2017-01-28 03:09:20.874384,Connected,2017-01-28 03:09:20.873893,0:00:17,0:05:52,
2017-01-28 03:17:40.047224,Disconnected,2017-01-28 03:17:40.046736,None,0:08:19,
2017-01-28 03:17:56.468916,Connected,2017-01-28 03:17:56.468462,0:00:16,0:08:19,
2017-01-28 04:44:45.297995,Disconnected,2017-01-28 04:44:45.297697,None,1:26:48,
2017-01-28 04:45:09.501638,Connected,2017-01-28 04:45:09.500953,0:00:24,1:26:48,
2017-01-28 05:58:32.600213,Disconnected,2017-01-28 05:58:32.599736,None,1:13:23,
2017-01-28 05:59:01.685995,Connected,2017-01-28 05:59:01.685546,0:00:29,None,
2017-01-28 08:53:54.965876,Disconnected,2017-01-28 08:53:54.965400,None,2:54:53,
2017-01-28 08:54:13.040991,Connected,2017-01-28 08:54:13.040707,0:00:18,2:54:53,
2017-01-28 08:54:45.254909,Connected,2017-01-28 08:54:45.254456,0:00:15,0:00:17,
2017-01-28 10:25:54.623254,Disconnected,2017-01-28 10:25:54.622775,None,1:31:09,
2017-01-28 10:26:15.860813,Connected,2017-01-28 10:26:15.860328,0:00:21,1:31:09,
2017-01-28 11:33:42.458404,Disconnected,2017-01-28 11:33:42.457933,None,1:07:26,
2017-01-28 11:33:59.211103,Connected,2017-01-28 11:33:59.210635,0:00:16,1:07:26,
