time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-02-04 11:25:47,Currently connected,2017-02-04 11:25:47,None,0,
2017-02-04 16:07:33,Disconnected,2017-02-04 16:05:07,None,4:39:20,
2017-02-05 11:10:18,Reconnected,2017-02-05 11:10:18,19:05:11,0,
2017-02-05 12:44:56,Disconnected,2017-02-05 12:41:13,None,1:30:54,
2017-02-05 20:17:31,Reconnected,2017-02-05 20:17:31,7:36:17,0,
2017-02-05 20:25:13,Disconnected,2017-02-05 20:22:15,None,0:04:44,
2017-02-05 20:30:57,Reconnected,2017-02-05 20:30:57,0:08:41,0,
2017-02-05 21:02:06,Disconnected,2017-02-05 20:58:45,None,0:27:47,
2017-02-05 21:19:39,Reconnected,2017-02-05 21:19:39,0:20:54,0,
2017-02-05 21:27:32,Disconnected,2017-02-05 21:23:50,None,0:04:10,
2017-02-05 21:34:47,Reconnected,2017-02-05 21:34:47,0:10:57,0,
2017-02-05 21:40:08,Disconnected,2017-02-05 21:36:23,None,0:01:36,
2017-02-05 21:44:44,Reconnected,2017-02-05 21:44:44,0:08:21,0,
2017-02-05 21:52:29,Disconnected,2017-02-05 21:49:19,None,0:04:34,
2017-02-05 22:03:23,Reconnected,2017-02-05 22:03:23,0:14:03,0,
2017-02-05 22:07:35,Disconnected,2017-02-05 22:04:51,None,0:01:28,
