2017-01-31 00:34:52.988419,Disconnected,2017-01-31 00:34:52,None,0:14:40,
2017-01-31 01:00:10.398705,Disconnected,2017-01-31 01:00:10,None,0:14:24,
2017-01-31 01:21:11.241441,Disconnected,2017-01-31 01:21:11,None,0:16:02,
2017-01-31 01:33:51.928379,Disconnected,2017-01-31 01:33:51,None,0:12:28,
2017-01-31 03:10:50.341132,Reconnected,2017-01-31 03:10:50,0:10:24,None,
2017-01-31 10:02:55.618294,Disconnected,2017-01-31 10:02:55,None,0:37:40,
2017-01-31 10:33:21.278253,Disconnected,2017-01-31 10:33:21,None,0:28:40,
2017-01-31 10:53:08.328719,Disconnected,2017-01-31 10:53:08,None,0:16:42,
2017-01-31 17:17:09.398409,Reconnected,2017-01-31 17:17:09,5:42:00,None,
2017-01-31 17:54:41.289078,Disconnected,2017-01-31 17:54:41,None,0:37:31,
2017-01-31 18:16:44.908364,Disconnected,2017-01-31 18:16:44,None,0:17:31,
2017-01-31 18:27:58.998374,Disconnected,2017-01-31 18:27:58,None,0:11:02,
2017-02-01 01:16:41.908441,Disconnected,2017-02-01 01:16:41,None,0:29:01,
2017-02-01 01:40:04.998430,Disconnected,2017-02-01 01:40:04,None,0:23:13,
2017-02-01 02:04:47.563919,Disconnected,2017-02-01 02:04:47,None,0:16:32,
2017-02-01 03:02:31.763608,Disconnected,2017-02-01 03:02:31,None,0:50:03,
2017-02-01 08:34:02.769243,Reconnected,2017-02-01 08:34:02,0:13:29,None,
2017-02-01 11:00:48.578644,Reconnected,2017-02-01 11:00:48,0:13:00,None,
2017-02-01 11:39:15.258411,Disconnected,2017-02-01 11:39:15,None,0:16:21,
