time_stamp, event, event_ts, time_spent_disconnected, time_spent_connected,
2017-03-26 22:10:17,Currently connected,Sun 26 Mar 22:10,None,None,
2017-03-26 22:15:51,Disconnected,Sun 26 Mar 22:12,None,0:02:29,
2017-03-26 22:18:01,Reconnected,Sun 26 Mar 22:18,0:05:15,None,
2017-03-26 22:23:19,Disconnected,Sun 26 Mar 22:20,None,0:02:17,
2017-03-26 22:42:41,Reconnected,Sun 26 Mar 22:42,0:22:22,None,
2017-03-26 23:14:26,Currently disconnected,Sun 26 Mar 23:14,None,None,
2017-03-26 23:29:48,Disconnected,Sun 26 Mar 23:25,None,0:42:53,
2017-03-27 00:06:56,Reconnected,Mon 27 Mar 00:06,0:41:20,None,
2017-03-27 00:12:31,Disconnected,Mon 27 Mar 00:09,None,0:02:29,
2017-03-27 10:25:58,Reconnected,Mon 27 Mar 10:25,10:16:32,None,
2017-03-27 10:40:18,Disconnected,Mon 27 Mar 10:37,None,0:11:27,
2017-03-27 11:02:59,Reconnected,Mon 27 Mar 11:02,0:25:33,None,
2017-03-27 11:35:55,Currently disconnected,Mon 27 Mar 11:35,None,None,
2017-03-27 14:09:52,Disconnected,Mon 27 Mar 14:07,None,3:04:10,
2017-03-27 14:16:32,Reconnected,Mon 27 Mar 14:16,0:09:22,None,
2017-03-27 14:26:10,Disconnected,Mon 27 Mar 14:23,None,0:06:48,
2017-03-27 14:46:29,Reconnected,Mon 27 Mar 14:46,0:23:08,None,
2017-03-27 14:51:36,Disconnected,Mon 27 Mar 14:48,None,0:02:14,
2017-03-27 15:05:19,Reconnected,Mon 27 Mar 15:05,0:16:36,None,
2017-03-27 15:10:15,Disconnected,Mon 27 Mar 15:07,None,0:02:13,
2017-03-27 15:31:01,Reconnected,Mon 27 Mar 15:31,0:23:27,None,
2017-03-27 15:36:01,Disconnected,Mon 27 Mar 15:33,None,0:02:14,
2017-03-27 15:45:05,Reconnected,Mon 27 Mar 15:45,0:11:49,None,
2017-03-27 15:50:01,Disconnected,Mon 27 Mar 15:47,None,0:02:14,
2017-03-27 16:02:28,Reconnected,Mon 27 Mar 16:02,0:15:08,None,
2017-03-27 16:11:41,Disconnected,Mon 27 Mar 16:09,None,0:06:32,
2017-03-27 16:25:10,Reconnected,Mon 27 Mar 16:25,0:16:09,None,
2017-03-27 19:13:58,Currently disconnected,Mon 27 Mar 19:13,None,None,
2017-03-28 00:57:07,Disconnected,Tue 28 Mar 00:53,None,8:28:07,
2017-03-28 01:07:20,Reconnected,Tue 28 Mar 01:07,0:14:02,None,
2017-03-28 01:13:07,Disconnected,Tue 28 Mar 01:09,None,0:02:16,
2017-03-28 01:25:21,Reconnected,Tue 28 Mar 01:25,0:15:44,None,
2017-03-28 01:30:39,Disconnected,Tue 28 Mar 01:27,None,0:02:21,
2017-03-28 02:39:19,Reconnected,Tue 28 Mar 02:39,1:11:36,None,
2017-03-28 02:44:32,Disconnected,Tue 28 Mar 02:41,None,0:02:26,
2017-03-28 04:18:08,Reconnected,Tue 28 Mar 04:18,1:36:22,None,
2017-03-28 04:29:49,Disconnected,Tue 28 Mar 04:26,None,0:08:24,
2017-03-28 05:16:37,Reconnected,Tue 28 Mar 05:16,0:50:05,None,
2017-03-28 05:22:21,Disconnected,Tue 28 Mar 05:19,None,0:02:33,
2017-03-28 05:56:28,Reconnected,Tue 28 Mar 05:56,0:37:16,None,
2017-03-28 06:01:45,Disconnected,Tue 28 Mar 05:58,None,0:02:18,
2017-03-28 08:08:16,Reconnected,Tue 28 Mar 08:08,2:09:29,None,
2017-03-28 08:13:42,Disconnected,Tue 28 Mar 08:10,None,0:02:18,
2017-03-28 08:33:37,Reconnected,Tue 28 Mar 08:33,0:23:02,None,
2017-03-28 08:39:21,Disconnected,Tue 28 Mar 08:36,None,0:02:32,
2017-03-28 10:18:01,Reconnected,Tue 28 Mar 10:18,1:41:52,None,
2017-03-28 10:23:14,Disconnected,Tue 28 Mar 10:20,None,0:02:19,
2017-03-28 11:26:12,Reconnected,Tue 28 Mar 11:26,1:05:51,None,
2017-03-28 11:32:11,Disconnected,Tue 28 Mar 11:28,None,0:02:39,
2017-03-28 12:46:48,Reconnected,Tue 28 Mar 12:46,1:17:56,None,
2017-03-28 13:20:10,Disconnected,Tue 28 Mar 13:17,None,0:30:40,
2017-03-28 13:36:07,Reconnected,Tue 28 Mar 13:36,0:18:37,None,
2017-03-28 13:41:12,Disconnected,Tue 28 Mar 13:38,None,0:02:16,
2017-03-28 13:57:11,Reconnected,Tue 28 Mar 13:57,0:18:47,None,
2017-03-28 14:14:25,Currently disconnected,Tue 28 Mar 14:14,None,None,
2017-03-28 15:14:32,Disconnected,Tue 28 Mar 15:11,None,1:14:38,
2017-03-28 15:16:41,Reconnected,Tue 28 Mar 15:16,0:04:51,None,
2017-03-28 16:24:26,Currently disconnected,Tue 28 Mar 16:24,None,None,
2017-03-28 18:58:48,Disconnected,Tue 28 Mar 18:55,None,3:39:17,
2017-03-28 19:38:25,Reconnected,Tue 28 Mar 19:38,0:42:26,None,
2017-03-28 19:52:06,Disconnected,Tue 28 Mar 19:48,None,0:10:33,
2017-03-28 20:01:58,Reconnected,Tue 28 Mar 20:01,0:12:59,None,
