time_stamp, is_connected, connect_time, disconnect_time, time_spent_connected,
2017-01-26 23:05:15.876094,True,2017-01-26 23:05:15.875611,None,None,
2017-01-26 23:20:24.243522,True,2017-01-26 23:05:15.875611,None,None,
2017-01-26 23:35:50.667119,True,2017-01-26 23:05:15.875611,None,None,
2017-01-26 23:51:11.738690,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 00:06:18.198247,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 00:21:34.455636,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 00:36:41.128090,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 00:51:50.066964,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 01:06:58.786644,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 01:22:22.793654,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 01:37:29.590014,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 01:52:34.242609,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 02:07:47.538267,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 02:22:53.417566,True,2017-01-26 23:05:15.875611,None,None,
2017-01-27 02:38:20.435852,True,2017-01-26 23:05:15.875611,None,None,
